"latitude","longitude","name","country","refcode"
24.4330005645752,54.6511001586914,"Abu Dhabi International Airport","AE","OMAA"
24.4283008575439,54.4580993652344,"Bateen Airport","AE","OMAD"
24.2616996765137,55.6091995239258,"Al Ain International Airport","AE","OMAL"
24.2481994629,54.5476989746,"Al Dhafra Air Base","AE","OMAM"
24.283611,52.580278,"Sir Bani Yas Airport","AE","OMBY"
25.2527999878,55.3643989563,"Dubai International Airport","AE","OMDB"
25.0268001556,55.3661994934,"Al Minhad Air Base","AE","OMDM"
24.896356,55.161389,"Al Maktoum International Airport","AE","OMDW"
25.1121997833252,56.3240013122559,"Fujairah International Airport","AE","OMFJ"
25.6135005950928,55.9388008117676,"Ras Al Khaimah International Airport","AE","OMRK"
25.3285999298096,55.5172004699707,"Sharjah International Airport","AE","OMSJ"
33.284605,69.80734,"Khost International Airport (U.C.)","AF","AF-0005"
34.2099990844727,62.2282981872559,"Herat Airport","AF","OAHR"
34.9460983276,69.2649993896,"Bagram Air Base","AF","OAIX"
34.3997993469238,70.4985961914062,"Jalalabad Airport","AF","OAJL"
34.565899,69.212303,"Hamid Karzai International Airport","AF","OAKB"
31.5058002471924,65.8478012084961,"Kandahar Airport","AF","OAKN"
35.9308013916016,64.7609024047852,"Maimana Airport","AF","OAMN"
36.706901550293,67.2097015380859,"Mazar I Sharif Airport","AF","OAMS"
36.6651000976562,68.9107971191406,"Konduz Airport","AF","OAUZ"
17.1367,-61.792702,"V.C. Bird International Airport","AG","TAPA"
18.2048,-63.055099,"Clayton J Lloyd International Airport","AI","TQPF"
42.0336990356,20.4158992767,"Kukës Airport","AL","LAKU"
40.771900177002,19.9018993377686,"Kuçovë Air Base","AL","LAKV"
41.4146995544,19.7206001282,"Tirana International Airport Mother Teresa","AL","LATI"
40.4761009216309,19.4741992950439,"Vlorë Air Base","AL","LAVL"
40.7504005432,43.8592987061,"Gyumri Shirak Airport","AM","UDSG"
40.1221008301,44.4650001526,"Erebuni Airport","AM","UDYE"
40.1473007202,44.3959007263,"Zvartnots International Airport","AM","UDYZ"
39.8240013123,45.6739997864,"Dzhermuk Airport","AM","UGEJ"
-6.26989984512329,14.2469997406006,"Mbanza Congo Airport","AO","FNBC"
-12.609000206,13.4036998749,"Benguela Airport","AO","FNBG"
-5.59699010848999,12.1884002685547,"Cabinda Airport","AO","FNCA"
-12.4792,13.4869,"Catumbela Airport","AO","FNCT"
