"latitude","longitude","name","country","refcode"
"32.3220","65.1190","Kajaki Hydroelectric Power Plant Afghanistan","AF","GEODB0040538"
"31.6700","65.7950","Kandahar DOG","AF","WKS0070144"
"31.6230","65.7920","Kandahar JOL","AF","WKS0071196"
"34.5560","69.4787","Mahipar Hydroelectric Power Plant Afghanistan","AF","GEODB0040541"
"34.6410","69.7170","Naghlu Dam Hydroelectric Power Plant Afghanistan","AF","GEODB0040534"
"34.4847","70.3633","Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan","AF","GEODB0040536"
"34.5638","69.1134","Northwest Kabul Power Plant Afghanistan","AF","GEODB0040540"
"35.9416","68.7100","Pul-e-Khumri Hydroelectric Power Plant Afghanistan","AF","GEODB0040537"
"34.5865","69.7757","Sarobi Dam Hydroelectric Power Plant Afghanistan","AF","GEODB0040535"
"-12.4706","13.7319","Biopio","AO","WRI1023002"
"-12.4706","13.7319","Biopio (hydro)","AO","WRI1023001"
"-9.7523","14.4809","Cambambe","AO","WRI1023003"
"-9.7955","15.4672","Capanda","AO","WRI1023004"
"-8.8383","13.2344","Cazenga","AO","WRI1023005"
"-12.7600","15.7500","Huambo","AO","WRI1023006"
"-12.3700","13.5700","Lobito","AO","WRI1023007"
"-8.8383","13.2344","Luanda Diesel","AO","WRI1023008"
"-8.8383","13.2344","Luanda Refinery","AO","WRI1023009"
"-5.5500","12.2000","Malongo","AO","WRI1023010"
"-14.7333","15.0333","Matala","AO","WRI1023011"
"-15.1961","12.1522","Namibe","AO","WRI1023012"
"-7.3000","20.8500","Rio Luachimo","AO","WRI1023013"
"-15.3333","15.0000","Xitoto","AO","WRI1023014"
"39.9116","20.1047","Bistrica 1","AL","WRI1002169"
"42.2514","20.0431","Fierza","AL","WRI1002170"
"42.1033","19.8224","Koman","AL","WRI1002171"
"41.3428","19.8964","Lanabregas","AL","WRI1002172"
"41.6796","19.8305","Shkopet","AL","WRI1002173"
"41.6796","19.8936","Ulez","AL","WRI1002174"
"42.0137","19.6359","Vau i Dijes","AL","WRI1002175"
"40.4874","19.4340","Vlora","AL","WRI1002176"
"24.4375","54.4910","APC UAN","AE","WRI1008747"
"25.4020","55.4500","Ajman","AE","WRI1023580"
"24.1210","53.4470","Al Mirfa Power Company","AE","WRI1008727"
"25.1493","55.4268","Aweer 'H' - Ph l","AE","WRI1008724"
"25.1498","55.4247","Aweer 'H' - Ph lll","AE","WRI1008726"
"25.3142","56.3728","ESWPC (Fuj F1)","AE","WRI1008730"
"25.3142","56.3728","FAPCO (Fuj F2)","AE","WRI1008731"
"25.4598","55.4800","Hamriyah Power Station (HPS)","AE","WRI1023581"
"25.0659","55.1235","Jebel Ali 'D'","AE","WRI1008732"
"25.0595","55.1178","Jebel Ali 'E'","AE","WRI1008733"
"25.0557","55.1149","Jebel Ali 'G'","AE","WRI1008734"
"25.0591","55.1181","Jebel Ali 'K'","AE","WRI1008735"
"25.0461","55.1053","Jebel Ali 'L' - Ph I","AE","WRI1008736"
"25.0508","55.1112","Jebel Ali 'L' - Ph ll","AE","WRI1008737"
"25.0592","55.1181","Jebel Ali 'M'","AE","WRI1008738"
"25.3671","56.3401","Khorfakkan Station (KHPS)","AE","WRI1023583"
"25.3527","55.3705","Layyah Power Station (LPS)","AE","WRI1023584"
"24.7590","55.3830","MBRSP} II","AE","WKS0065024"
"24.7470","55.3850","MBRSP} IIIA","AE","WKS0069243"
"24.7650","55.3700","MBRSP} IIIB","AE","WKS0069244"
"24.4345","54.6085","Masdar City PV plant","AE","WRI1008740"
"24.1040","53.4264","New Mirfah (MIPCO)","AE","WRI1023586"
"23.5711","53.7143","Shams","AE","WRI1023591"
"24.7652","55.3733","Sheikh Mohammed Bin Rashid Al Maktoum Solar Park Phase 1","AE","WRI1023588"
"24.1650","52.5680","Shuweihat S1","AE","WRI1008743"
"24.7680","54.6873","TAPCO","AE","WRI1008746"
"24.7609","54.6803","Taweelah A1","AE","WRI1008744"
"24.7624","54.6835","Taweelah A2","AE","WRI1008745"
"25.3732","55.4611","Wasit Power Station (WPS)","AE","WRI1023589"
"25.4460","55.4777","zawra","AE","WRI1023590"
"-38.9368","-68.3556","AGUA DEL CAJON (AUTOGENERADOR DEL MEM)","AR","ARG0000231"
"-38.9368","-68.3556","AGUA DEL CAJON (GENERADOR DEL MEM)","AR","ARG0000232"
"-34.5792","-68.9892","AGUA DEL TORO","AR","ARG0000210"
"-40.5800","-70.7489","ALICURA","AR","ARG0000230"
"-34.8386","-58.4033","ALMIRANTE BROWN","AR","ARG0000156"
"-38.9524","-68.0218","ALTO VALLE","AR","ARG0000235"
